FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
11430,26908,MoA,Phase 2,Gene,Chemical_Compound
26921,26908,MoA,Phase 2,Gene,Chemical_Compound
14311,26908,MoA,Phase 2,Gene,Chemical_Compound
6054,26908,MoA,Phase 2,Gene,Chemical_Compound
5855,26908,MoA,Phase 2,Gene,Chemical_Compound
9642,26908,MoA,Phase 2,Gene,Chemical_Compound
7679,26908,MoA,Phase 2,Gene,Chemical_Compound
2714,26908,MoA,Phase 2,Gene,Chemical_Compound
6599,26908,MoA,Phase 2,Gene,Chemical_Compound
8584,26908,MoA,Phase 2,Gene,Chemical_Compound
9324,26908,MoA,Phase 2,Gene,Chemical_Compound
26922,26908,MoA,Phase 2,Gene,Chemical_Compound
7333,26908,MoA,Phase 2,Gene,Chemical_Compound
25660,26908,MoA,Phase 2,Gene,Chemical_Compound
3557,26908,MoA,Phase 2,Gene,Chemical_Compound
14664,26908,MoA,Phase 2,Gene,Chemical_Compound
26923,26908,MoA,Phase 2,Gene,Chemical_Compound
26924,26908,MoA,Phase 2,Gene,Chemical_Compound
5503,26908,MoA,Phase 2,Gene,Chemical_Compound
11761,26908,MoA,Phase 2,Gene,Chemical_Compound
26925,26908,MoA,Phase 2,Gene,Chemical_Compound
26926,26908,MoA,Phase 2,Gene,Chemical_Compound
26927,26908,MoA,Phase 2,Gene,Chemical_Compound
12611,26908,MoA,Phase 2,Gene,Chemical_Compound
14430,26908,MoA,Phase 2,Gene,Chemical_Compound
9557,26908,MoA,Phase 2,Gene,Chemical_Compound
13152,26908,MoA,Phase 2,Gene,Chemical_Compound
11666,26908,MoA,Phase 2,Gene,Chemical_Compound
9139,26908,MoA,Phase 2,Gene,Chemical_Compound
10336,26908,MoA,Phase 2,Gene,Chemical_Compound
26928,26908,MoA,Phase 2,Gene,Chemical_Compound
14986,26908,MoA,Phase 2,Gene,Chemical_Compound
26929,26908,MoA,Phase 2,Gene,Chemical_Compound
4018,26908,MoA,Phase 2,Gene,Chemical_Compound
8994,26908,MoA,Phase 2,Gene,Chemical_Compound
2689,26908,MoA,Phase 2,Gene,Chemical_Compound
9421,26908,MoA,Phase 2,Gene,Chemical_Compound
3412,26908,MoA,Phase 2,Gene,Chemical_Compound
4085,26908,MoA,Phase 2,Gene,Chemical_Compound
3679,26908,MoA,Phase 2,Gene,Chemical_Compound
13210,26908,MoA,Phase 2,Gene,Chemical_Compound
11300,26908,MoA,Phase 2,Gene,Chemical_Compound
4336,26908,MoA,Phase 2,Gene,Chemical_Compound
4335,26908,MoA,Phase 2,Gene,Chemical_Compound
4337,26908,MoA,Phase 2,Gene,Chemical_Compound
13211,26908,MoA,Phase 2,Gene,Chemical_Compound
